Design,Context,Neither
46,51,2
64,43,4
56,46,4
78,74,5
71,74,2
70,46,20
66,59,10
56,88,4
57,77,6
60,47,5
72,46,12
86,39,12
82,84,6
78,53,6
59,72,4
74,70,6
89,80,4
86,74,6
53,63,3
64,61,11
