Design,Context,Neither
44,51,4
51,54,6
47,52,7
71,78,8
53,89,5
65,48,23
53,71,11
57,86,5
52,78,10
49,55,8
58,57,15
67,56,14
68,95,9
66,60,11
56,73,6
66,78,6
71,97,5
73,86,7
42,74,3
57,66,13
