codebase,design1000,design1001,design1002,design1003,design1004,design1005,design1006,design1007,design1008,design1009,design1010,design1011,design1012,design1013,design1014,design1015,design1016,design1017,design1018,design1019
vocabType,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context,context
percent,38.46,44.23,38.46,46.15,42.31,42.31,44.23,44.23,44.23,38.46,34.62,42.31,50.0,40.38,34.62,51.92,44.23,48.08,44.23,40.38
