,Design,Context,Neither,Total
1000,42,55,2,99
1001,48,59,4,111
1002,44,58,4,106
1003,68,84,5,157
1004,48,97,2,147
1005,60,56,20,136
1006,47,78,10,135
1007,48,96,4,148
1008,49,85,6,140
1009,44,63,5,112
1010,59,59,12,130
1011,63,62,12,137
1012,65,101,6,172
1013,59,72,6,137
1014,48,83,4,135
1015,64,80,6,150
1016,65,104,4,173
1017,67,93,6,166
1018,38,78,3,119
1019,55,70,11,136
